Name, NumTargetPlates, SizeTargetPlates, NumSourcePlates, NumCombinations
multiplate_dzn_files/multiplate_t2_w2_s2_0.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_1.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_2.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_3.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_4.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_5.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_6.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_7.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_8.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s2_9.dzn,2,2,2,4
multiplate_dzn_files/multiplate_t2_w2_s5_0.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_1.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_2.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_3.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_4.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_5.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_6.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_7.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_8.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s5_9.dzn,2,2,5,4
multiplate_dzn_files/multiplate_t2_w2_s10_0.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_1.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_2.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_3.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_4.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_5.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_6.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_7.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_8.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w2_s10_9.dzn,2,2,10,4
multiplate_dzn_files/multiplate_t2_w4_s2_0.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_1.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_2.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_3.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_4.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_5.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_6.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_7.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_8.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s2_9.dzn,2,4,2,8
multiplate_dzn_files/multiplate_t2_w4_s5_0.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_1.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_2.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_3.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_4.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_5.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_6.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_7.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_8.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s5_9.dzn,2,4,5,8
multiplate_dzn_files/multiplate_t2_w4_s10_0.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_1.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_2.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_3.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_4.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_5.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_6.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_7.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_8.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w4_s10_9.dzn,2,4,10,8
multiplate_dzn_files/multiplate_t2_w6_s2_0.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_1.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_2.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_3.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_4.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_5.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_6.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_7.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_8.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s2_9.dzn,2,6,2,12
multiplate_dzn_files/multiplate_t2_w6_s5_0.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_1.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_2.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_3.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_4.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_5.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_6.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_7.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_8.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s5_9.dzn,2,6,5,12
multiplate_dzn_files/multiplate_t2_w6_s10_0.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_1.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_2.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_3.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_4.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_5.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_6.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_7.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_8.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w6_s10_9.dzn,2,6,10,12
multiplate_dzn_files/multiplate_t2_w8_s2_0.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_1.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_2.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_3.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_4.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_5.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_6.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_7.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_8.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s2_9.dzn,2,8,2,16
multiplate_dzn_files/multiplate_t2_w8_s5_0.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_1.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_2.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_3.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_4.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_5.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_6.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_7.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_8.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s5_9.dzn,2,8,5,16
multiplate_dzn_files/multiplate_t2_w8_s10_0.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_1.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_2.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_3.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_4.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_5.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_6.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_7.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_8.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t2_w8_s10_9.dzn,2,8,10,16
multiplate_dzn_files/multiplate_t5_w2_s2_0.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_1.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_2.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_3.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_4.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_5.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_6.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_7.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_8.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s2_9.dzn,5,2,2,10
multiplate_dzn_files/multiplate_t5_w2_s5_0.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_1.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_2.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_3.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_4.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_5.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_6.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_7.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_8.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s5_9.dzn,5,2,5,10
multiplate_dzn_files/multiplate_t5_w2_s10_0.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_1.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_2.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_3.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_4.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_5.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_6.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_7.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_8.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w2_s10_9.dzn,5,2,10,10
multiplate_dzn_files/multiplate_t5_w4_s2_0.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_1.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_2.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_3.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_4.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_5.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_6.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_7.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_8.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s2_9.dzn,5,4,2,20
multiplate_dzn_files/multiplate_t5_w4_s5_0.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_1.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_2.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_3.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_4.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_5.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_6.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_7.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_8.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s5_9.dzn,5,4,5,20
multiplate_dzn_files/multiplate_t5_w4_s10_0.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_1.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_2.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_3.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_4.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_5.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_6.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_7.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_8.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w4_s10_9.dzn,5,4,10,20
multiplate_dzn_files/multiplate_t5_w6_s2_0.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_1.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_2.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_3.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_4.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_5.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_6.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_7.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_8.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s2_9.dzn,5,6,2,30
multiplate_dzn_files/multiplate_t5_w6_s5_0.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_1.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_2.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_3.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_4.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_5.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_6.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_7.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_8.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s5_9.dzn,5,6,5,30
multiplate_dzn_files/multiplate_t5_w6_s10_0.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_1.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_2.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_3.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_4.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_5.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_6.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_7.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_8.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w6_s10_9.dzn,5,6,10,30
multiplate_dzn_files/multiplate_t5_w8_s2_0.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_1.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_2.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_3.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_4.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_5.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_6.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_7.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_8.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s2_9.dzn,5,8,2,40
multiplate_dzn_files/multiplate_t5_w8_s5_0.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_1.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_2.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_3.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_4.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_5.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_6.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_7.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_8.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s5_9.dzn,5,8,5,40
multiplate_dzn_files/multiplate_t5_w8_s10_0.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_1.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_2.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_3.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_4.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_5.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_6.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_7.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_8.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t5_w8_s10_9.dzn,5,8,10,40
multiplate_dzn_files/multiplate_t10_w2_s2_0.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_1.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_2.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_3.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_4.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_5.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_6.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_7.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_8.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s2_9.dzn,10,2,2,20
multiplate_dzn_files/multiplate_t10_w2_s5_0.dzn,10,2,5,20
multiplate_dzn_files/multiplate_t10_w2_s5_1.dzn,10,2,5,20
